,category1_name,category2_no,category2_name,category3_no,category3_name,href
104,技术,4O00,硬件开发,1013,热传导,https://www.lagou.com/zhaopin/rechuandao/
105,技术,4O00,硬件开发,1014,材料工程师,https://www.lagou.com/zhaopin/cailiaogongchengshi/
106,技术,4O00,硬件开发,1015,精益工程师,https://www.lagou.com/zhaopin/jingyigongchengshi/
107,技术,4O00,硬件开发,1016,射频工程师,https://www.lagou.com/zhaopin/shepingongchengshi/
108,技术,4O00,硬件开发,1017,硬件开发其它,https://www.lagou.com/zhaopin/yingjiankaifaqita/
109,技术,4O00,企业软件,1101,实施工程师,https://www.lagou.com/zhaopin/shishigongchengshi/
110,技术,4O00,企业软件,1102,售前工程师,https://www.lagou.com/zhaopin/shouqiangongchengshi/
111,技术,4O00,企业软件,1103,售后工程师,https://www.lagou.com/zhaopin/shouhougongchengshi/
112,技术,4O00,企业软件,1104,BI工程师,https://www.lagou.com/zhaopin/bigongchengshi/
113,技术,4O00,企业软件,1105,企业软件其它,https://www.lagou.com/zhaopin/qiyeruanjianqita/
114,产品,4P00,产品经理,0101,产品经理,https://www.lagou.com/zhaopin/chanpinjingli1/
115,产品,4P00,产品经理,0102,网页产品经理,https://www.lagou.com/zhaopin/wangyechanpinjingli/
116,产品,4P00,产品经理,0103,移动产品经理,https://www.lagou.com/zhaopin/yidongchanpinjingli/
117,产品,4P00,产品经理,0104,产品助理,https://www.lagou.com/zhaopin/chanpinzhuli/
118,产品,4P00,产品经理,0105,数据产品经理,https://www.lagou.com/zhaopin/shujuchanpinjingli/
119,产品,4P00,产品经理,0106,电商产品经理,https://www.lagou.com/zhaopin/dianshangchanpinjingli/
120,产品,4P00,产品经理,0107,游戏策划,https://www.lagou.com/zhaopin/youxicehua/
121,产品,4P00,产品经理,0108,产品实习生,https://www.lagou.com/zhaopin/chanpinshixisheng/
122,产品,4P00,产品设计师,0201,网页产品设计师,https://www.lagou.com/zhaopin/wangyechanpinshejishi/
123,产品,4P00,产品设计师,0202,无线产品设计师,https://www.lagou.com/zhaopin/wuxianchanpinshejishi/
124,产品,4P00,高端职位,0301,产品部经理,https://www.lagou.com/zhaopin/chanpinbujingli/
125,产品,4P00,高端职位,0302,产品总监,https://www.lagou.com/zhaopin/chanpinzongjian/
126,产品,4P00,高端职位,0303,游戏制作人,https://www.lagou.com/zhaopin/youxizhizuoren/
127,设计,4Q00,视觉设计,0101,视觉设计师,https://www.lagou.com/zhaopin/shijueshejishi/
128,设计,4Q00,视觉设计,0102,网页设计师,https://www.lagou.com/zhaopin/wangyeshejishi/
129,设计,4Q00,视觉设计,0103,Flash设计师,https://www.lagou.com/zhaopin/Flashshejishi/
130,设计,4Q00,视觉设计,0104,APP设计师,https://www.lagou.com/zhaopin/APPshejishi/
131,设计,4Q00,视觉设计,0105,UI设计师,https://www.lagou.com/zhaopin/UIshejishi/
132,设计,4Q00,视觉设计,0106,平面设计师,https://www.lagou.com/zhaopin/pingmianshejishi/
